order_id,order_date,customer_id,total_amount,status
1,2024-09-02,655,100.1,Cancelled
2,2024-08-30,282,160.2,Pending
3,2024-07-06,755,96.12,Cancelled
4,2024-03-25,914,295.41,Cancelled
5,2023-11-12,433,64.3,Pending
6,2024-06-21,224,154.7,Cancelled
7,2024-03-29,28,302.56,Cancelled
8,2024-09-20,666,365.6,Completed
9,2024-02-02,226,252.14,Completed
10,2023-12-10,829,441.19,Pending
11,2023-10-25,715,240.18,Completed
12,2024-02-19,160,146.89,Completed
13,2024-06-07,105,91.74,Pending
14,2024-08-17,368,431.37,Cancelled
15,2024-03-03,271,413.21,Cancelled
16,2024-02-23,471,291.3,Completed
17,2024-03-22,81,298.42,Cancelled
18,2024-09-28,634,448.45,Completed
19,2024-06-25,592,136.53,Pending
20,2024-03-09,47,347.57,Completed
21,2024-04-15,82,434.89,Pending
22,2024-02-07,390,175.09,Cancelled
23,2024-06-13,855,214.17,Completed
24,2023-10-28,364,144.28,Completed
25,2023-12-17,719,471.49,Cancelled
26,2024-03-07,74,324.11,Pending
27,2023-11-02,547,378.11,Pending
28,2024-02-05,474,220.75,Cancelled
29,2024-10-11,705,300.63,Cancelled
30,2023-12-13,333,429.28,Pending
31,2024-10-04,235,419.81,Completed
32,2024-06-01,411,170.48,Pending
33,2023-10-25,936,474.31,Cancelled
34,2023-11-26,323,145.68,Completed
35,2024-06-08,406,448.11,Cancelled
36,2024-01-06,470,114.29,Pending
37,2024-08-24,253,385.25,Cancelled
38,2024-02-14,270,386.16,Completed
39,2024-05-01,920,312.59,Completed
40,2024-07-19,225,498.8,Pending
41,2024-08-14,522,272.08,Pending
42,2024-07-30,882,99.34,Cancelled
43,2024-04-30,164,406.44,Completed
44,2024-08-15,611,78.59,Completed
45,2024-05-28,611,498.25,Cancelled
46,2024-07-18,258,486.99,Pending
47,2024-02-26,697,374.32,Cancelled
48,2024-10-15,907,291.64,Completed
49,2024-01-07,788,338.43,Pending
50,2024-03-11,301,245.64,Completed
51,2024-09-02,4,479.22,Cancelled
52,2024-05-29,270,487.35,Pending
53,2023-10-28,520,460.68,Cancelled
54,2024-06-27,306,428.75,Cancelled
55,2024-07-24,624,139.51,Completed
56,2023-12-13,781,122.7,Cancelled
57,2024-03-12,941,50.26,Completed
58,2024-08-07,501,58.76,Completed
59,2024-06-24,900,493.39,Completed
60,2023-11-15,246,76.07,Cancelled
61,2023-11-15,970,85.44,Cancelled
62,2024-10-13,498,417.21,Cancelled
63,2024-01-11,785,106.59,Cancelled
64,2024-05-22,487,476.08,Pending
65,2024-04-28,272,287.45,Cancelled
66,2024-05-26,434,483.96,Cancelled
67,2024-06-16,774,378.47,Pending
68,2024-05-15,731,190.27,Cancelled
69,2024-07-27,666,218.04,Cancelled
70,2024-03-26,463,104.45,Pending
71,2024-05-12,66,202.14,Cancelled
72,2024-07-26,568,153.55,Pending
73,2023-12-02,8,81.95,Cancelled
74,2024-09-09,61,153.02,Pending
75,2024-09-21,881,198.69,Cancelled
76,2024-05-07,244,175.31,Completed
77,2024-08-20,220,292.66,Cancelled
78,2023-11-04,958,447.07,Cancelled
79,2024-06-07,485,159.35,Completed
80,2024-04-16,827,233.18,Pending
81,2024-06-28,100,346.54,Completed
82,2024-05-06,434,235.0,Cancelled
83,2024-05-05,56,353.01,Cancelled
84,2024-04-04,101,77.28,Cancelled
85,2024-02-16,348,410.27,Pending
86,2024-01-28,255,136.22,Cancelled
87,2023-12-30,460,113.08,Pending
88,2024-09-04,286,258.18,Pending
89,2024-05-26,454,413.61,Cancelled
90,2024-02-06,101,72.76,Cancelled
91,2024-10-03,857,56.64,Pending
92,2024-01-18,949,389.1,Pending
93,2024-02-20,171,232.89,Completed
94,2024-01-18,219,439.09,Pending
95,2024-08-21,169,220.54,Completed
96,2024-08-09,272,466.93,Completed
97,2024-03-04,293,240.35,Cancelled
98,2024-01-13,803,300.1,Cancelled
99,2024-04-10,499,119.66,Completed
100,2024-02-15,223,485.92,Cancelled
101,2024-08-01,754,293.99,Cancelled
102,2023-11-29,322,75.72,Cancelled
103,2024-07-11,489,276.28,Cancelled
104,2024-01-17,162,75.6,Cancelled
105,2024-04-05,83,433.1,Pending
106,2024-07-26,610,80.58,Pending
107,2024-09-21,414,103.95,Cancelled
108,2024-03-23,253,310.51,Pending
109,2024-03-04,635,86.89,Cancelled
110,2023-11-15,598,304.35,Completed
111,2024-02-29,958,167.34,Cancelled
112,2024-05-20,734,191.38,Completed
113,2024-04-29,406,108.9,Cancelled
114,2023-11-14,308,255.75,Pending
115,2024-10-05,10,256.23,Cancelled
116,2024-03-04,103,82.97,Pending
117,2024-06-25,519,169.34,Completed
